Pitot/static Probe Velocity [m/s],Hotwire Ev [Volts],q Corr Factor,Atm Press [Pa],Atm Temp [C],Density [kg/m^3],a0,a1,a2,a3,a4
-0.753,1.302,0.89,99500,21.5,1.177,-9.368,-5.803,35.304,-31.765,9.296
-0.746,1.312,,,,,,,,,
-0.701,1.323,,,,,,,,,
-0.692,1.305,,,,,,,,,
-0.687,1.298,,,,,,,,,
-0.686,1.326,,,,,,,,,
-0.682,1.289,,,,,,,,,
-0.681,1.296,,,,,,,,,
-0.657,1.317,,,,,,,,,
-0.651,1.297,,,,,,,,,
-0.65,1.3,,,,,,,,,
-0.644,1.289,,,,,,,,,
-0.639,1.295,,,,,,,,,
-0.637,1.295,,,,,,,,,
-0.636,1.294,,,,,,,,,
-0.606,1.289,,,,,,,,,
-0.567,1.287,,,,,,,,,
-0.566,1.293,,,,,,,,,
-0.544,1.293,,,,,,,,,
-0.522,1.281,,,,,,,,,
-0.511,1.283,,,,,,,,,
-0.502,1.287,,,,,,,,,
-0.48,1.319,,,,,,,,,
-0.48,1.281,,,,,,,,,
-0.473,1.284,,,,,,,,,
-0.458,1.281,,,,,,,,,
-0.403,1.296,,,,,,,,,
-0.359,1.28,,,,,,,,,
-0.355,1.281,,,,,,,,,
-0.349,1.389,,,,,,,,,
-0.221,1.281,,,,,,,,,
0.124,1.359,,,,,,,,,
0.139,1.417,,,,,,,,,
0.541,1.34,,,,,,,,,
0.558,1.351,,,,,,,,,
0.576,1.45,,,,,,,,,
0.591,1.427,,,,,,,,,
0.798,1.365,,,,,,,,,
1.241,1.503,,,,,,,,,
1.297,1.503,,,,,,,,,
2.169,1.577,,,,,,,,,
2.338,1.588,,,,,,,,,
3.659,1.667,,,,,,,,,
5.476,1.743,,,,,,,,,
5.502,1.75,,,,,,,,,
8.325,1.846,,,,,,,,,
9.776,1.885,,,,,,,,,
11.853,1.938,,,,,,,,,
13.092,1.964,,,,,,,,,
16.183,2.025,,,,,,,,,
16.213,2.024,,,,,,,,,
18.528,2.066,,,,,,,,,
20.426,2.095,,,,,,,,,
22.167,2.121,,,,,,,,,
22.839,2.129,,,,,,,,,
23.114,2.134,,,,,,,,,
23.83,2.144,,,,,,,,,
24.609,2.154,,,,,,,,,
25.179,2.161,,,,,,,,,
25.587,2.168,,,,,,,,,
25.678,2.168,,,,,,,,,
25.68,2.168,,,,,,,,,
25.875,2.17,,,,,,,,,